Date, Open, High, Low, Close, Volume
03/09/16, 8.0075, 8.0188, 7.83, 7.9325, 22278948
03/08/16, 8.0025, 8.05, 7.9113, 7.9375, 27493912
03/07/16, 8.0925, 8.1475, 7.9788, 8.085, 24021980
03/04/16, 8.225, 8.2325, 8.075, 8.1375, 17530536
03/03/16, 8.225, 8.26, 8.0525, 8.1625, 30200352
03/02/16, 8.1425, 8.265, 8.1275, 8.235, 23383732
03/01/16, 7.86, 8.1875, 7.8475, 8.1875, 34870048
02/29/16, 7.9025, 8.005, 7.835, 7.84, 32334472
02/26/16, 8.01, 8.0291, 7.84, 7.92, 36196292
02/25/16, 7.985, 8.0125, 7.83, 7.9725, 34961468
02/24/16, 7.8675, 7.967, 7.65, 7.955, 33685344
02/23/16, 7.8175, 7.975, 7.78, 7.90, 36937800
02/22/16, 7.72, 7.9675, 7.705, 7.88, 44966800
02/19/16, 7.47, 7.6775, 7.4125, 7.61, 52562920
02/18/16, 7.4825, 7.7438, 7.475, 7.51, 106865960
02/17/16, 6.8325, 6.98, 6.805, 6.915, 77146680
02/16/16, 6.525, 6.7575, 6.505, 6.7475, 48535200
02/12/16, 6.425, 6.445, 6.1875, 6.4325, 34081468
02/11/16, 6.195, 6.39, 6.195, 6.325, 34014540
02/10/16, 6.4125, 6.5975, 6.3225, 6.3575, 33579920
02/09/16, 6.23, 6.6375, 6.20, 6.3725, 42537240
02/08/16, 6.5075, 6.54, 6.2125, 6.305, 60885280
02/05/16, 7.005, 7.0825, 6.5875, 6.6075, 60042760
02/04/16, 7.06, 7.2125, 6.9825, 7.0525, 34813800
02/03/16, 7.07, 7.1125, 6.8875, 7.05, 32677404
02/02/16, 7.25, 7.2875, 6.965, 7.015, 34190840
02/01/16, 7.315, 7.3625, 7.2525, 7.325, 28988396
01/29/16, 7.0725, 7.3363, 7.045, 7.3225, 31050488
01/28/16, 7.1475, 7.1725, 6.875, 7.0125, 27677804
01/27/16, 7.165, 7.1863, 6.9538, 7.09, 23170112
01/26/16, 7.12, 7.205, 7.0463, 7.175, 22796728
01/25/16, 7.11, 7.1913, 7.0888, 7.105, 27072812
01/22/16, 7.0825, 7.16, 7.0675, 7.1125, 25801248
01/21/16, 6.945, 7.0575, 6.8025, 6.95, 48145680
01/20/16, 6.7025, 6.9575, 6.6125, 6.87, 48117840
01/19/16, 6.9175, 7.1125, 6.8038, 6.8325, 45714160
01/15/16, 6.88, 6.9625, 6.66, 6.7775, 84145204
01/14/16, 7.165, 7.25, 6.955, 7.1675, 60023440
01/13/16, 7.6025, 7.6525, 7.3075, 7.315, 48167040
01/12/16, 7.5525, 7.655, 7.4925, 7.545, 46935560
01/11/16, 7.415, 7.4725, 7.2875, 7.42, 40940400
01/08/16, 7.6675, 7.675, 7.3913, 7.4075, 39847128
01/07/16, 7.685, 7.7383, 7.47, 7.57, 64530320
01/06/16, 8.0875, 8.125, 7.79, 7.8825, 44934400
01/05/16, 8.245, 8.36, 8.125, 8.2225, 49027240
01/04/16, 8.0725, 8.145, 8.01, 8.0925, 35807628
12/31/15, 8.335, 8.3725, 8.24, 8.24, 14852808
12/30/15, 8.4125, 8.485, 8.345, 8.3475, 18034280
12/29/15, 8.29, 8.445, 8.2675, 8.42, 20366048
12/28/15, 8.205, 8.285, 8.09, 8.285, 14202812
12/24/15, 8.24, 8.3125, 8.2275, 8.2925, 5244924
12/23/15, 8.245, 8.2963, 8.23, 8.2638, 12252556
12/22/15, 8.25, 8.315, 8.1825, 8.2325, 13001076
12/21/15, 8.1225, 8.2325, 8.05, 8.2238, 28421492
12/18/15, 8.11, 8.1925, 8.025, 8.035, 39589696
12/17/15, 8.305, 8.39, 8.1625, 8.1675, 25416176
12/16/15, 8.26, 8.32, 8.1875, 8.2925, 23635496
12/15/15, 8.235, 8.30, 8.19, 8.2425, 30729416
12/14/15, 8.13, 8.1875, 8.045, 8.1425, 27634580
12/11/15, 8.1625, 8.22, 8.105, 8.1225, 22732152
12/10/15, 8.2025, 8.29, 8.175, 8.245, 23659692
12/09/15, 8.3875, 8.4375, 8.0925, 8.1775, 37267484
12/08/15, 8.175, 8.425, 8.1225, 8.39, 31448932
12/07/15, 8.435, 8.435, 8.2525, 8.2775, 33358716
12/04/15, 8.1075, 8.4525, 8.1075, 8.4375, 45875680
12/03/15, 8.19, 8.275, 8.0675, 8.1075, 24665620
12/02/15, 8.20, 8.285, 8.1075, 8.125, 29424016
12/01/15, 8.00, 8.195, 7.9925, 8.1875, 40949720
11/30/15, 7.855, 7.965, 7.8475, 7.93, 32724320
11/27/15, 7.7975, 7.8725, 7.7575, 7.8475, 8700808
11/25/15, 7.7775, 7.87, 7.755, 7.7825, 13829904
11/24/15, 7.73, 7.86, 7.695, 7.7925, 19542768
11/23/15, 7.9125, 7.9125, 7.7013, 7.73, 24255004
11/20/15, 7.8375, 7.8925, 7.79, 7.8475, 23974348
11/19/15, 7.785, 7.8575, 7.7225, 7.78, 25407212
11/18/15, 7.6025, 7.7675, 7.5188, 7.7575, 35021432
11/17/15, 7.62, 7.665, 7.5684, 7.60, 25704940
11/16/15, 7.5475, 7.605, 7.4875, 7.60, 34428032
11/13/15, 7.6075, 7.64, 7.4125, 7.45, 29294004
11/12/15, 7.61, 7.68, 7.5675, 7.60, 29108068
11/11/15, 7.7075, 7.7625, 7.60, 7.6275, 62012640
11/10/15, 7.75, 7.7925, 7.5375, 7.7025, 55226000
11/09/15, 7.81, 7.875, 7.7425, 7.8525, 49256920
11/06/15, 7.6125, 7.985, 7.455, 7.8875, 117227116
11/05/15, 7.0425, 7.0613, 6.9075, 6.9275, 47879880
11/04/15, 7.105, 7.1575, 6.975, 7.0075, 44226280
11/03/15, 7.1325, 7.1725, 7.045, 7.125, 37676920
11/02/15, 7.115, 7.1825, 7.0725, 7.175, 19008788
10/30/15, 6.995, 7.1425, 6.9425, 7.0925, 30115860
10/29/15, 7.0525, 7.125, 6.9075, 6.92, 32716708
10/28/15, 7.155, 7.1675, 7.05, 7.1675, 21703408
10/27/15, 7.08, 7.1544, 7.075, 7.11, 20826712
10/26/15, 7.1525, 7.17, 7.05, 7.115, 24743740
10/23/15, 7.1625, 7.195, 7.055, 7.1475, 38177428
10/22/15, 6.9325, 7.1225, 6.9225, 7.10, 30688364
10/21/15, 6.985, 7.0275, 6.84, 6.8525, 38668196
10/20/15, 6.9225, 6.975, 6.87, 6.9425, 26482456
10/19/15, 6.9875, 7.0188, 6.8725, 6.9525, 29471120
10/16/15, 6.88, 7.03, 6.8625, 6.965, 44839600
10/15/15, 6.8525, 6.9975, 6.7825, 6.8575, 52604600
10/14/15, 6.6075, 6.9463, 6.60, 6.84, 61219040
10/13/15, 6.535, 6.6388, 6.5125, 6.60, 29844284
10/12/15, 6.525, 6.625, 6.4763, 6.5875, 22758908
10/09/15, 6.5075, 6.57, 6.395, 6.5175, 42324840
10/08/15, 6.4775, 6.56, 6.3675, 6.5425, 46006960
10/07/15, 6.4525, 6.57, 6.3475, 6.505, 31015196
10/06/15, 6.2875, 6.465, 6.2625, 6.4375, 45442120
10/05/15, 6.24, 6.4325, 6.2075, 6.355, 48202280
10/02/15, 6.01, 6.2002, 5.9475, 6.20, 38614556
10/01/15, 6.1625, 6.18, 5.8675, 6.0425, 48929720
09/30/15, 5.9825, 6.17, 5.9475, 6.1625, 55638160
09/29/15, 5.8875, 5.9375, 5.805, 5.9275, 38073492
09/28/15, 5.9025, 5.9388, 5.7875, 5.825, 39558304
09/25/15, 5.9325, 6.0175, 5.845, 5.9025, 36969072
09/24/15, 5.715, 5.92, 5.625, 5.86, 38244124
09/23/15, 5.7275, 5.785, 5.705, 5.75, 16163396
09/22/15, 5.755, 5.795, 5.6913, 5.7225, 22835692
09/21/15, 5.83, 5.895, 5.80, 5.8825, 28186464
09/18/15, 5.7475, 5.8725, 5.7125, 5.8225, 32641020
09/17/15, 5.875, 5.9275, 5.815, 5.8275, 26871076
09/16/15, 5.725, 5.8075, 5.6813, 5.775, 17350736
09/15/15, 5.675, 5.765, 5.6575, 5.735, 32797648
09/14/15, 5.69, 5.7075, 5.6425, 5.6725, 19246544
09/11/15, 5.5825, 5.70, 5.5588, 5.6625, 30158432
09/10/15, 5.525, 5.715, 5.4988, 5.645, 35707584
09/09/15, 5.6875, 5.735, 5.545, 5.5575, 28939396
09/08/15, 5.57, 5.6925, 5.548, 5.67, 23844872
09/04/15, 5.4725, 5.56, 5.435, 5.4375, 28800980
09/03/15, 5.635, 5.6625, 5.5575, 5.5675, 26255752
09/02/15, 5.5375, 5.555, 5.445, 5.5525, 34404260
09/01/15, 5.4575, 5.55, 5.35, 5.39, 35340880
08/31/15, 5.655, 5.695, 5.5963, 5.62, 21935240
08/28/15, 5.6575, 5.7175, 5.6163, 5.6825, 32094528
08/27/15, 5.51, 5.66, 5.4775, 5.6575, 46376320
08/26/15, 5.235, 5.4575, 5.195, 5.4525, 61497760
08/25/15, 5.405, 5.425, 5.07, 5.07, 62268440
08/24/15, 5.0675, 5.4575, 5.00, 5.1775, 68228280
08/21/15, 5.50, 5.5925, 5.3625, 5.3675, 38266556
08/20/15, 5.6825, 5.71, 5.5125, 5.54, 42693320
08/19/15, 5.7625, 5.8263, 5.685, 5.7475, 24927368
08/18/15, 5.805, 5.845, 5.725, 5.77, 28708220
08/17/15, 5.875, 5.875, 5.775, 5.8475, 27387892
08/14/15, 5.875, 5.92, 5.84, 5.885, 21465044
08/13/15, 5.9375, 5.95, 5.865, 5.88, 27688584
08/12/15, 5.82, 5.9725, 5.82, 5.93, 38408048
08/11/15, 5.8575, 5.9725, 5.8575, 5.915, 43500840
08/10/15, 5.705, 5.9875, 5.67, 5.945, 66230564
08/07/15, 5.615, 5.8425, 5.47, 5.745, 140524672
08/06/15, 5.1325, 5.17, 5.0275, 5.1125, 65567564
08/05/15, 5.2175, 5.2225, 5.1338, 5.145, 23462608
08/04/15, 5.055, 5.1075, 5.035, 5.0925, 26010056
08/03/15, 5.0275, 5.0775, 4.9625, 5.0725, 39713112
07/31/15, 5.025, 5.0275, 4.9575, 4.9875, 21836844
07/30/15, 4.98, 5.055, 4.98, 5.005, 19017916
07/29/15, 4.9225, 5.0325, 4.9025, 4.9925, 23268132
07/28/15, 4.84, 4.965, 4.79, 4.9325, 19830932
07/27/15, 4.8125, 4.8825, 4.7725, 4.8275, 19242080
07/24/15, 4.9475, 4.9525, 4.835, 4.855, 18884396
07/23/15, 4.8625, 4.985, 4.8525, 4.9125, 16991488
07/22/15, 4.9125, 4.9125, 4.7925, 4.8513, 35647276
